t,i,x,x',x'',e(t),integral(e(t)),d(e(t))/dt
1.32,1.10435,5.02471,-0.183024,-2.03605,-0.0263114,0.00245036,0.134819
1.33,1.09131,5.02288,-0.203385,-1.76651,-0.0247103,0.00218725,0.160109
1.34,1.0776,5.02085,-0.22105,-1.48671,-0.02288,0.00194015,0.183024
1.35,1.06338,5.01864,-0.235917,-1.20034,-0.0208462,0.00171134,0.203385
1.36,1.04882,5.01628,-0.24792,-0.910966,-0.0186357,0.00150288,0.22105
1.37,1.03407,5.0138,-0.25703,-0.621925,-0.0162765,0.00131653,0.235917
1.38,1.01929,5.01123,-0.263249,-0.336331,-0.0137973,0.00115376,0.24792
1.39,1.00463,5.00859,-0.266613,-0.0570321,-0.011227,0.00101579,0.25703
1.4,0.990232,5.00593,-0.267183,0.213401,-0.00859453,0.000903517,0.263249
1.41,0.976238,5.00326,-0.265049,0.472682,-0.0059284,0.000817572,0.266613
1.42,0.96277,5.00061,-0.260322,0.718806,-0.00325657,0.000758288,0.267183
1.43,0.949948,4.998,-0.253134,0.950043,-0.000606082,0.000725722,0.265049
1.44,0.937878,4.99547,-0.243634,1.16493,0.00199714,0.000719661,0.260322
1.45,0.926657,4.99304,-0.231984,1.36224,0.00452848,0.000739632,0.253134
1.46,0.916371,4.99072,-0.218362,1.54099,0.00696482,0.000784917,0.243634
1.47,0.907094,4.98853,-0.202952,1.7004,0.00928466,0.000854565,0.231984
1.48,0.898891,4.9865,-0.185948,1.83986,0.0114683,0.000947412,0.218362
1.49,0.891814,4.98464,-0.167549,1.95897,0.0134978,0.00106209,0.202952
1.5,0.885904,4.98297,-0.14796,2.05743,0.0153573,0.00119707,0.185948
1.51,0.881191,4.98149,-0.127386,2.13511,0.0170328,0.00135065,0.167549
1.52,0.877694,4.98021,-0.106035,2.19198,0.0185124,0.00152097,0.14796
1.53,0.875421,4.97915,-0.0841147,2.22814,0.0197862,0.0017061,0.127386
1.54,0.87437,4.97831,-0.0618333,2.24378,0.0208466,0.00190396,0.106035
1.55,0.874527,4.97769,-0.0393955,2.23918,0.0216877,0.00211243,0.0841147
1.56,0.87587,4.9773,-0.0170037,2.21472,0.0223061,0.0023293,0.0618333
1.57,0.878366,4.97713,0.00514342,2.17087,0.0227,0.00255236,0.0393955
1.58,0.881971,4.97718,0.0268521,2.10822,0.0228701,0.00277936,0.0170037
1.59,0.886635,4.97745,0.0479343,2.02742,0.0228186,0.00300806,-0.00514342
1.6,0.892296,4.97793,0.0682085,1.92928,0.0225501,0.00323625,-0.0268521
1.61,0.898887,4.97861,0.0875013,1.81467,0.0220708,0.00346175,-0.0479343
1.62,0.90633,4.97949,0.105648,1.68462,0.0213887,0.00368246,-0.0682085
1.63,0.914542,4.98054,0.122494,1.54028,0.0205137,0.00389635,-0.0875013
1.64,0.923434,4.98177,0.137897,1.38291,0.0194572,0.00410148,-0.105648
1.65,0.932908,4.98315,0.151726,1.21392,0.0182322,0.00429605,-0.122494
1.66,0.942865,4.98466,0.163865,1.03486,0.0168533,0.00447838,-0.137897
1.67,0.953201,4.9863,0.174214,0.847394,0.015336,0.00464691,-0.151726
1.68,0.963806,4.98804,0.182688,0.653312,0.0136973,0.00480027,-0.163865
1.69,0.974573,4.98987,0.189221,0.454517,0.0119552,0.00493724,-0.174214
1.7,0.98539,4.99176,0.193766,0.253004,0.0101283,0.00505679,-0.182688
1.71,0.996148,4.9937,0.196296,0.0508461,0.00823612,0.00515808,-0.189221
1.72,1.00674,4.99566,0.196805,-0.149837,0.00629846,0.00524044,-0.193766
1.73,1.01705,4.99763,0.195306,-0.346898,0.0043355,0.00530342,-0.196296
1.74,1.02699,4.99959,0.191837,-0.538201,0.00236745,0.00534678,-0.196805
1.75,1.03645,5.0015,0.186455,-0.721645,0.000414389,0.00537045,-0.195306
1.76,1.04535,5.00337,0.179239,-0.895205,-0.00150398,0.0053746,-0.191837
1.77,1.0536,5.00516,0.170287,-1.05696,-0.00336854,0.00535956,-0.186455
1.78,1.06112,5.00686,0.159717,-1.20514,-0.00516092,0.00532587,-0.179239
1.79,1.06785,5.00846,0.147666,-1.33814,-0.00686379,0.00527426,-0.170287
1.8,1.07373,5.00994,0.134284,-1.45454,-0.00846096,0.00520562,-0.159717
1.81,1.07871,5.01128,0.119739,-1.55318,-0.00993762,0.00512101,-0.147666
1.82,1.08276,5.01248,0.104207,-1.63313,-0.0112805,0.00502164,-0.134284
1.83,1.08585,5.01352,0.0878758,-1.69372,-0.0124779,0.00490883,-0.119739
1.84,1.08796,5.0144,0.0709386,-1.73455,-0.0135199,0.00478406,-0.104207
1.85,1.0891,5.01511,0.0535931,-1.7555,-0.0143987,0.00464886,-0.0878758
1.86,1.08928,5.01564,0.0360381,-1.75672,-0.0151081,0.00450487,-0.0709386
1.87,1.0885,5.016,0.0184709,-1.73863,-0.015644,0.00435379,-0.0535931
1.88,1.08681,5.01619,0.00108466,-1.70188,-0.0160044,0.00419735,-0.0360381
1.89,1.08424,5.0162,-0.0159342,-1.64739,-0.0161891,0.0040373,-0.0184709
1.9,1.08083,5.01604,-0.032408,-1.57624,-0.0161999,0.00387541,-0.00108466
1.91,1.07664,5.01572,-0.0481705,-1.48974,-0.0160406,0.00371341,0.0159342
1.92,1.07175,5.01523,-0.0630679,-1.38932,-0.0157165,0.00355301,0.032408
1.93,1.0662,5.0146,-0.076961,-1.27655,-0.0152348,0.00339584,0.0481705
1.94,1.06008,5.01383,-0.0897265,-1.15309,-0.0146041,0.00324349,0.0630679
1.95,1.05347,5.01294,-0.101257,-1.02067,-0.0138345,0.00309745,0.076961
1.96,1.04645,5.01192,-0.111464,-0.881056,-0.0129373,0.00295911,0.0897265
1.97,1.03909,5.01081,-0.120275,-0.736012,-0.0119247,0.00282974,0.101257
1.98,1.03149,5.00961,-0.127635,-0.587292,-0.01081,0.00271049,0.111464
1.99,1.02372,5.00833,-0.133508,-0.436608,-0.0096073,0.00260239,0.120275
2,1.01588,5.007,-0.137874,-0.285614,-0.00833095,0.00250632,0.127635
2.01,1.00804,5.00562,-0.14073,-0.135884,-0.00699587,0.00242301,0.133508
2.02,1.00028,5.00421,-0.142089,0.0110957,-0.00561713,0.00235305,0.137874
2.03,0.992673,5.00279,-0.141978,0.153942,-0.00420983,0.00229688,0.14073
2.04,0.985302,5.00137,-0.140438,0.291379,-0.00278895,0.00225478,0.142089
2.05,0.978228,4.99996,-0.137525,0.422248,-0.00136917,0.00222689,0.141978
2.06,0.971515,4.99859,-0.133302,0.545505,3.52E-05,0.0022132,0.140438
2.07,0.965221,4.99726,-0.127847,0.660227,0.00141046,0.00221355,0.137525
2.08,0.959399,4.99598,-0.121245,0.765607,0.00274348,0.00222765,0.133302
2.09,0.954095,4.99477,-0.113589,0.860957,0.00402195,0.00225509,0.127847
2.1,0.94935,4.99363,-0.104979,0.9457,0.0052344,0.00229531,0.121245
2.11,0.945196,4.99258,-0.0955221,1.01937,0.00637029,0.00234765,0.113589
2.12,0.941663,4.99162,-0.0853284,1.08161,0.00742008,0.00241135,0.104979
2.13,0.938771,4.99077,-0.0745124,1.13216,0.0083753,0.00248556,0.0955221
2.14,0.936534,4.99003,-0.0631908,1.17085,0.00922859,0.00256931,0.0853284
2.15,0.934963,4.98939,-0.0514823,1.19763,0.00997371,0.00266159,0.0745124
2.16,0.934058,4.98888,-0.039506,1.21252,0.0106056,0.00276133,0.0631908
2.17,0.933815,4.98848,-0.0273808,1.21563,0.0111204,0.00286739,0.0514823
2.18,0.934223,4.98821,-0.0152245,1.20716,0.0115155,0.00297859,0.039506
2.19,0.935268,4.98806,-0.0031529,1.1874,0.0117893,0.00309375,0.0273808
2.2,0.936926,4.98803,0.00872106,1.1567,0.0119416,0.00321164,0.0152245
2.21,0.939171,4.98811,0.020288,1.1155,0.0119731,0.00333106,0.0031529
2.22,0.94197,4.98832,0.031443,1.06433,0.0118859,0.00345079,-0.00872106
2.23,0.945286,4.98863,0.0420864,1.00379,0.011683,0.00356965,-0.020288
2.24,0.949077,4.98905,0.0521242,0.934526,0.0113686,0.00368648,-0.031443
2.25,0.953299,4.98957,0.0614695,0.857292,0.0109477,0.00380016,-0.0420864
2.26,0.957902,4.99019,0.0700424,0.772888,0.0104265,0.00390964,-0.0521242
