t,i,x,x',x'',e(t),integral(e(t)),d(e(t))/dt
1.19,1.15522,5.02269,0.233875,-3.16269,-0.0200604,0.00641032,-0.290626
1.2,1.16306,5.02503,0.202248,-3.32708,-0.022695,0.00620972,-0.263459
1.21,1.16895,5.02706,0.168977,-3.44978,-0.0250337,0.00598277,-0.233875
1.22,1.17286,5.02875,0.134479,-3.5297,-0.0270562,0.00573243,-0.202248
1.23,1.17479,5.03009,0.0991823,-3.56647,-0.028746,0.00546187,-0.168977
1.24,1.17476,5.03108,0.0635176,-3.56047,-0.0300908,0.00517441,-0.134479
1.25,1.17281,5.03172,0.0279129,-3.51277,-0.0310826,0.0048735,-0.0991823
1.26,1.16901,5.032,-0.0072148,-3.42509,-0.0317178,0.00456268,-0.0635176
1.27,1.16344,5.03192,-0.0414657,-3.29975,-0.0319969,0.0042455,-0.0279129
1.28,1.15622,5.03151,-0.0744633,-3.13958,-0.0319247,0.00392553,0.0072148
1.29,1.14745,5.03077,-0.105859,-2.94784,-0.0315101,0.00360629,0.0414657
1.3,1.13729,5.02971,-0.135338,-2.72814,-0.0307654,0.00329118,0.0744633
1.31,1.12587,5.02835,-0.162619,-2.48432,-0.0297069,0.00298353,0.105859
1.32,1.11336,5.02673,-0.187462,-2.22039,-0.0283535,0.00268646,0.135338
1.33,1.09991,5.02485,-0.209666,-1.94041,-0.0267273,0.00240293,0.162619
1.34,1.0857,5.02276,-0.22907,-1.64844,-0.0248527,0.00213565,0.187462
1.35,1.0709,5.02047,-0.245555,-1.34844,-0.022756,0.00188713,0.209666
1.36,1.05568,5.01801,-0.259039,-1.04422,-0.0204653,0.00165957,0.22907
1.37,1.04021,5.01542,-0.269481,-0.73937,-0.0180098,0.00145491,0.245555
1.38,1.02465,5.01272,-0.276875,-0.437254,-0.0154194,0.00127482,0.259039
1.39,1.00917,5.00996,-0.281247,-0.14095,-0.0127246,0.00112062,0.269481
1.4,0.993907,5.00714,-0.282657,0.146753,-0.00995581,0.000993377,0.276875
1.41,0.97902,5.00432,-0.281189,0.423374,-0.00714334,0.000893819,0.281247
1.42,0.964641,5.0015,-0.276956,0.686731,-0.00431677,0.000822386,0.282657
1.43,0.950897,4.99874,-0.270088,0.934942,-0.00150487,0.000779218,0.281189
1.44,0.937903,4.99603,-0.260739,1.16641,0.00126468,0.000764169,0.276956
1.45,0.925766,4.99343,-0.249075,1.37979,0.00396557,0.000776816,0.270088
1.46,0.914579,4.99094,-0.235277,1.57401,0.00657295,0.000816472,0.260739
1.47,0.904425,4.98858,-0.219537,1.7482,0.0090637,0.000882201,0.249075
1.48,0.895376,4.98639,-0.202055,1.9017,0.0114165,0.000972838,0.235277
1.49,0.88749,4.98437,-0.183038,2.03403,0.0136118,0.001087,0.219537
1.5,0.880815,4.98254,-0.162698,2.14487,0.0156324,0.00122312,0.202055
1.51,0.875389,4.98091,-0.141249,2.23405,0.0174628,0.00137945,0.183038
1.52,0.871235,4.9795,-0.118908,2.30149,0.0190897,0.00155407,0.162698
1.53,0.868367,4.97831,-0.0958935,2.34726,0.0205022,0.00174497,0.141249
1.54,0.866787,4.97735,-0.0724209,2.37152,0.0216913,0.00194999,0.118908
1.55,0.866487,4.97663,-0.0487058,2.3745,0.0226503,0.00216691,0.0958935
1.56,0.867447,4.97614,-0.0249608,2.35656,0.0233745,0.00239341,0.0724209
1.57,0.869638,4.97589,-0.00139516,2.31813,0.0238615,0.00262715,0.0487058
1.58,0.873019,4.97587,0.0217861,2.25973,0.0241111,0.00286577,0.0249608
1.59,0.877542,4.97609,0.0443835,2.182,0.0241251,0.00310688,0.00139516
1.6,0.883147,4.97654,0.0662035,2.08567,0.0239072,0.00334813,-0.0217861
1.61,0.889766,4.9772,0.0870602,1.97159,0.0234634,0.0035872,-0.0443835
1.62,0.897323,4.97807,0.106776,1.84072,0.0228014,0.00382184,-0.0662035
1.63,0.905733,4.97914,0.125183,1.69418,0.0219307,0.00404985,-0.0870602
1.64,0.914906,4.98039,0.142125,1.5332,0.020863,0.00426916,-0.106776
1.65,0.924742,4.98181,0.157457,1.35916,0.0196112,0.00447779,-0.125183
1.66,0.935139,4.98338,0.171049,1.17361,0.0181899,0.0046739,-0.142125
1.67,0.945987,4.9851,0.182785,0.97821,0.0166153,0.0048558,-0.157457
1.68,0.957175,4.98692,0.192567,0.774781,0.0149048,0.00502195,-0.171049
1.69,0.968586,4.98885,0.200315,0.56527,0.013077,0.005171,-0.182785
1.7,0.980106,4.99085,0.205967,0.351742,0.0111513,0.00530177,-0.192567
1.71,0.991615,4.99291,0.209485,0.136361,0.00914818,0.00541328,-0.200315
1.72,1.003,4.99501,0.210848,-0.0786353,0.00708851,0.00550476,-0.205967
1.73,1.01414,4.99711,0.210062,-0.290959,0.00499366,0.00557565,-0.209485
1.74,1.02493,4.99922,0.207152,-0.498308,0.00288518,0.00562559,-0.210848
1.75,1.03526,5.00129,0.202169,-0.698398,0.000784556,0.00565444,-0.210062
1.76,1.04503,5.00331,0.195185,-0.888998,-0.00128697,0.00566228,-0.207152
1.77,1.05415,5.00526,0.186295,-1.06797,-0.00330866,0.00564941,-0.202169
1.78,1.06253,5.00712,0.175616,-1.23332,-0.00526052,0.00561633,-0.195185
1.79,1.07009,5.00888,0.163283,-1.38319,-0.00712347,0.00556372,-0.186295
1.8,1.07678,5.01051,0.149451,-1.51595,-0.00887963,0.00549249,-0.175616
1.81,1.08252,5.01201,0.134291,-1.63021,-0.0105125,0.00540369,-0.163283
1.82,1.08728,5.01335,0.117989,-1.7248,-0.012007,0.00529857,-0.149451
1.83,1.09102,5.01453,0.100741,-1.79886,-0.0133499,0.0051785,-0.134291
1.84,1.09372,5.01554,0.0827524,-1.85181,-0.0145298,0.005045,-0.117989
1.85,1.09538,5.01636,0.0642342,-1.88337,-0.0155372,0.0048997,-0.100741
1.86,1.096,5.01701,0.0454005,-1.89356,-0.0163647,0.00474433,-0.0827524
1.87,1.09559,5.01746,0.0264649,-1.88269,-0.017007,0.00458068,-0.0642342
1.88,1.09418,5.01773,0.00763791,-1.85136,-0.017461,0.00441061,-0.0454005
1.89,1.0918,5.0178,-0.0108757,-1.80042,-0.0177257,0.004236,-0.0264649
1.9,1.08851,5.01769,-0.0288799,-1.73097,-0.0178021,0.00405874,-0.00763791
1.91,1.08435,5.0174,-0.0461895,-1.64432,-0.0176933,0.00388072,0.0108757
1.92,1.07939,5.01694,-0.0626327,-1.54197,-0.0174045,0.00370379,0.0288799
1.93,1.07371,5.01632,-0.0780524,-1.42556,-0.0169426,0.00352975,0.0461895
1.94,1.06737,5.01554,-0.092308,-1.29685,-0.0163163,0.00336032,0.0626327
1.95,1.06047,5.01461,-0.105276,-1.15769,-0.0155358,0.00319716,0.0780524
1.96,1.05308,5.01356,-0.116853,-1.00997,-0.0146127,0.0030418,0.092308
1.97,1.0453,5.01239,-0.126953,-0.855621,-0.0135599,0.00289567,0.105276
1.98,1.03721,5.01112,-0.135509,-0.696534,-0.0123914,0.00276007,0.116853
1.99,1.0289,5.00977,-0.142475,-0.534587,-0.0111219,0.00263616,0.126953
2,1.02047,5.00834,-0.147821,-0.371592,-0.00976676,0.00252494,0.135509
2.01,1.012,5.00686,-0.151536,-0.209284,-0.00834202,0.00242727,0.142475
2.02,1.00358,5.00535,-0.153629,-0.0493038,-0.00686381,0.00234385,0.147821
2.03,0.995297,5.00381,-0.154122,0.106815,-0.00534845,0.00227521,0.151536
2.04,0.987224,5.00227,-0.153054,0.257654,-0.00381215,0.00222173,0.153629
2.05,0.979438,5.00074,-0.150478,0.401921,-0.00227093,0.00218361,0.154122
2.06,0.972011,4.99924,-0.146458,0.538447,-0.000740388,0.0021609,0.153054
2.07,0.965006,4.99777,-0.141074,0.666195,0.000764389,0.0021535,0.150478
2.08,0.958483,4.99636,-0.134412,0.784254,0.00222897,0.00216114,0.146458
2.09,0.952495,4.99502,-0.12657,0.891837,0.00363971,0.00218343,0.141074
2.1,0.947089,4.99375,-0.117651,0.988284,0.00498383,0.00221983,0.134412
2.11,0.942304,4.99257,-0.107768,1.07305,0.00624953,0.00226966,0.12657
2.12,0.938173,4.9915,-0.0970378,1.1457,0.00742604,0.00233216,0.117651
2.13,0.934725,4.99053,-0.0855808,1.20592,0.00850372,0.00240642,0.107768
2.14,0.931976,4.98967,-0.0735216,1.25349,0.0094741,0.00249146,0.0970378
2.15,0.929941,4.98893,-0.0609867,1.28829,0.0103299,0.0025862,0.0855808
2.16,0.928625,4.98833,-0.0481038,1.3103,0.0110651,0.0026895,0.0735216
2.17,0.928028,4.98784,-0.0350008,1.3196,0.011675,0.00280015,0.0609867
2.18,0.928141,4.98749,-0.0218048,1.31634,0.012156,0.0029169,0.0481038
2.19,0.92895,4.98728,-0.00864138,1.30078,0.012506,0.00303846,0.0350008
2.2,0.930437,4.98719,0.00436638,1.27324,0.0127241,0.00316352,0.0218048
2.21,0.932574,4.98723,0.0170988,1.23414,0.0128105,0.00329076,0.00864138
2.22,0.93533,4.9874,0.0294402,1.184,0.0127668,0.00341886,-0.00436638
2.23,0.938667,4.9877,0.0412801,1.12337,0.0125958,0.00354653,-0.0170988
2.24,0.942545,4.98811,0.0525139,1.05294,0.0123014,0.00367249,-0.0294402
2.25,0.946915,4.98864,0.0630433,0.973431,0.0118886,0.00379551,-0.0412801
2.26,0.951728,4.98927,0.0727776,0.885662,0.0113635,0.00391439,-0.0525139
2.27,0.956929,4.98999,0.0816342,0.790519,0.0107331,0.00402803,-0.0630433
2.28,0.962461,4.99081,0.0895394,0.688956,0.0100053,0.00413536,-0.0727776
2.29,0.968264,4.99171,0.096429,0.581987,0.00918896,0.00423541,-0.0816342
2.3,0.974276,4.99267,0.102249,0.470685,0.00829356,0.0043273,-0.0895394
2.31,0.980434,4.99369,0.106956,0.356168,0.00732927,0.00441024,-0.096429
2.32,0.986674,4.99476,0.110517,0.239592,0.00630678,0.00448353,-0.102249
2.33,0.992932,4.99587,0.112913,0.122143,0.00523723,0.0045466,-0.106956
2.34,0.999144,4.997,0.114135,0.0050174,0.00413205,0.00459897,-0.110517
2.35,1.00525,4.99814,0.114185,-0.110582,0.00300292,0.00464029,-0.112913
2.36,1.01118,4.99928,0.113079,-0.223467,0.00186157,0.00467032,-0.114135
2.37,1.01689,5.00041,0.110844,-0.332477,0.000719725,0.00468894,-0.114185
2.38,1.02232,5.00152,0.10752,-0.436489,-0.000411066,0.00469613,-0.113079
2.39,1.02742,5.00259,0.103155,-0.534443,-0.00151951,0.00469202,-0.110844
2.4,1.03214,5.00363,0.0978103,-0.625345,-0.00259471,0.00467683,-0.10752
2.41,1.03644,5.0046,0.0915569,-0.70829,-0.00362625,0.00465088,-0.103155
2.42,1.04028,5.00552,0.084474,-0.782471,-0.00460436,0.00461462,-0.0978103
2.43,1.04363,5.00636,0.0766492,-0.847188,-0.00551993,0.00456857,-0.0915569
2.44,1.04646,5.00713,0.0681774,-0.901864,-0.00636466,0.00451337,-0.084474
2.45,1.04876,5.00781,0.0591587,-0.946046,-0.00713116,0.00444973,-0.0766492
2.46,1.05051,5.0084,0.0496983,-0.979415,-0.00781293,0.00437842,-0.0681774
2.47,1.0517,5.0089,0.0399041,-1.00179,-0.00840452,0.00430029,-0.0591587
2.48,1.05234,5.0093,0.0298862,-1.01312,-0.0089015,0.00421624,-0.0496983
2.49,1.05242,5.0096,0.0197551,-1.01349,-0.00930054,0.00412723,-0.0399041
2.5,1.05196,5.0098,0.0096202,-1.00312,-0.0095994,0.00403422,-0.0298862
2.51,1.05097,5.00989,-0.000411018,-0.982361,-0.00979696,0.00393823,-0.0197551
2.52,1.04947,5.00989,-0.0102346,-0.951665,-0.00989316,0.00384026,-0.0096202
2.53,1.04749,5.00979,-0.0197513,-0.911602,-0.00988905,0.00374133,0.000411018
2.54,1.04507,5.00959,-0.0288673,-0.862833,-0.0097867,0.00364244,0.0102346
2.55,1.04222,5.0093,-0.0374956,-0.806105,-0.00958919,0.00354457,0.0197513
2.56,1.039,5.00893,-0.0455567,-0.742236,-0.00930051,0.00344868,0.0288673
2.57,1.03545,5.00847,-0.052979,-0.6721,-0.00892556,0.00335567,0.0374956
2.58,1.03161,5.00794,-0.0597001,-0.596615,-0.00846999,0.00326642,0.0455567
2.59,1.02751,5.00734,-0.0656662,-0.516726,-0.0079402,0.00318172,0.052979
2.6,1.02322,5.00669,-0.0708335,-0.433399,-0.0073432,0.00310231,0.0597001
2.61,1.01879,5.00598,-0.0751674,-0.3476,-0.00668654,0.00302888,0.0656662
2.62,1.01424,5.00523,-0.0786434,-0.260291,-0.0059782,0.00296202,0.0708335
2.63,1.00965,5.00444,-0.0812464,-0.172412,-0.00522653,0.00290223,0.0751674
2.64,1.00505,5.00363,-0.0829705,-0.0848759,-0.0044401,0.00284997,0.0786434
2.65,1.00049,5.0028,-0.0838192,0.00144038,-0.00362763,0.00280557,0.0812464
2.66,0.996011,5.00196,-0.0838048,0.0857052,-0.00279793,0.00276929,0.0829705
2.67,0.991664,5.00112,-0.0829478,0.167137,-0.00195973,0.00274131,0.0838192
2.68,0.987487,5.00029,-0.0812764,0.245011,-0.00112169,0.00272172,0.0838048
2.69,0.983516,4.99948,-0.0788263,0.318661,-0.000292208,0.0027105,0.0829478
2.7,0.979788,4.99869,-0.0756397,0.387484,0.000520556,0.00270758,0.0812764
2.71,0.976334,4.99793,-0.0717648,0.450944,0.00130882,0.00271278,0.0788263
2.72,0.973183,4.99722,-0.0672554,0.508569,0.00206522,0.00272587,0.0756397
2.73,0.970359,4.99654,-0.0621697,0.559957,0.00278286,0.00274652,0.0717648
2.74,0.967885,4.99592,-0.0565701,0.604773,0.00345542,0.00277435,0.0672554
2.75,0.965776,4.99536,-0.0505224,0.642748,0.00407712,0.0028089,0.0621697
2.76,0.964047,4.99485,-0.0440949,0.673683,0.00464282,0.00284968,0.0565701
2.77,0.962707,4.99441,-0.0373581,0.697442,0.00514804,0.0028961,0.0505224
2.78,0.961762,4.99404,-0.0303837,0.713956,0.00558899,0.00294758,0.0440949
2.79,0.961214,4.99373,-0.0232441,0.723219,0.00596257,0.00300347,0.0373581
2.8,0.96106,4.9935,-0.0160119,0.725286,0.00626641,0.0030631,0.0303837
2.81,0.961294,4.99334,-0.00875908,0.720273,0.00649885,0.00312576,0.0232441
2.82,0.961907,4.99325,-0.00155634,0.708356,0.00665897,0.00319075,0.0160119
2.83,0.962887,4.99324,0.00552721,0.689763,0.00674656,0.00325734,0.00875908
2.84,0.964216,4.99329,0.0124248,0.664782,0.00676212,0.00332481,0.00155634
2.85,0.965875,4.99342,0.0190727,0.633748,0.00670685,0.00339243,-0.00552721
2.86,0.967842,4.99361,0.0254101,0.597048,0.0065826,0.0034595,-0.0124248
2.87,0.970092,4.99386,0.0313806,0.555114,0.00639188,0.00352532,-0.0190727
2.88,0.972599,4.99418,0.0369317,0.508422,0.00613777,0.00358924,-0.0254101
2.89,0.975331,4.99455,0.042016,0.457486,0.00582397,0.00365062,-0.0313806
2.9,0.978259,4.99497,0.0465908,0.402856,0.00545465,0.00370886,-0.0369317
2.91,0.981349,4.99543,0.0506194,0.345113,0.00503449,0.00376341,-0.042016
2.92,0.984568,4.99594,0.0540705,0.284864,0.00456858,0.00381375,-0.0465908
2.93,0.987882,4.99648,0.0569192,0.222734,0.00406239,0.00385944,-0.0506194
2.94,0.991256,4.99705,0.0591465,0.159366,0.00352168,0.00390006,-0.0540705
2.95,0.994654,4.99764,0.0607401,0.0954085,0.00295249,0.00393528,-0.0569192
2.96,0.998042,4.99825,0.0616942,0.0315144,0.00236103,0.0039648,-0.0591465
2.97,1.00139,4.99886,0.0620094,-0.0316695,0.00175363,0.00398841,-0.0607401
2.98,1.00465,4.99948,0.0616927,-0.0935078,0.00113668,0.00400595,-0.0616942
2.99,1.00781,5.0001,0.0607576,-0.153384,0.00051659,0.00401732,-0.0620094
3,1.01083,5.00071,0.0592238,-0.210705,-0.000100337,0.00402248,-0.0616927
3.01,1.01368,5.0013,0.0571167,-0.264914,-0.000707913,0.00402148,-0.0607576
3.02,1.01634,5.00187,0.0544676,-0.315488,-0.00130015,0.0040144,-0.0592238
3.03,1.01878,5.00242,0.0513127,-0.361952,-0.00187132,0.0040014,-0.0571167
3.04,1.02098,5.00293,0.0476932,-0.40388,-0.00241599,0.00398269,-0.0544676
3.05,1.02293,5.00341,0.0436544,-0.4409,-0.00292912,0.00395853,-0.0513127
3.06,1.0246,5.00384,0.0392454,-0.472702,-0.00340605,0.00392923,-0.0476932
3.07,1.026,5.00424,0.0345184,-0.499035,-0.0038426,0.00389517,-0.0436544
3.08,1.0271,5.00458,0.029528,-0.519713,-0.00423505,0.00385675,-0.0392454
3.09,1.0279,5.00488,0.0243309,-0.53462,-0.00458023,0.0038144,-0.0345184
3.1,1.0284,5.00512,0.0189847,-0.543701,-0.00487551,0.00376859,-0.029528
3.11,1.0286,5.00531,0.0135477,-0.546972,-0.00511882,0.00371984,-0.0243309
3.12,1.02851,5.00544,0.00807795,-0.544511,-0.00530867,0.00366865,-0.0189847
3.13,1.02812,5.00552,0.00263284,-0.53646,-0.00544415,0.00361556,-0.0135477
3.14,1.02746,5.00555,-0.00273176,-0.523019,-0.00552493,0.00356112,-0.00807795
3.15,1.02653,5.00552,-0.00796195,-0.504445,-0.00555125,0.00350587,-0.00263284
3.16,1.02535,5.00544,-0.0130064,-0.481046,-0.00552394,0.00345036,0.00273176
